"customer_id","first_name","last_name","birth_date","marital_status","gender","email_address","annual_income","education_level","occupation","home_owner"
AB-1001548,Byron,Nara,1971-07-26,M,M,byron13@hotmail.com,20000,High School,Manual,Y
AB-100155,Arturo,Serrano,1997-01-13,M,M,arturo33@hotmail.com,110000,Bachelors,Management,Y
AB-1001551,Jarrod,Xu,1986-04-01,S,M,jarrod14@hotmail.com,40000,Partial College,Clerical,Y
AB-1001558,Lori,Schmidt,1977-10-28,M,F,lori21@hotmail.com,20000,Graduate Degree,Clerical,Y
AB-1001559,Roberto,Suri,1974-10-07,M,M,roberto9@hotmail.com,60000,Partial College,Skilled Manual,Y
AB-1001564,Anna,Clark,1960-11-22,M,F,anna60@hotmail.com,40000,Partial College,Clerical,Y
AB-100157,Cindy,Liang,1991-10-16,M,F,cindy6@hotmail.com,40000,Graduate Degree,Clerical,Y
AB-1001582,Bryce,Murphy,1973-08-18,S,M,bryce9@hotmail.com,60000,Bachelors,Professional,N
AB-1001591,Gina,Castro,1985-10-16,M,F,gina11@hotmail.com,40000,Bachelors,Skilled Manual,Y
AB-1001593,Jésus,Morris,1969-04-11,S,M,jésus12@hotmail.com,30000,High School,Manual,N
AB-10060102,Lori,Li,1964-01-09,S,F,lori10@hotmail.com,20000,Partial College,Manual,Y
AB-10060107,Sheena,Thomas,1974-07-01,M,F,sheena0@hotmail.com,20000,High School,Skilled Manual,Y
AB-10060113,Aidan,Rivera,1995-12-11,M,M,aidan16@hotmail.com,80000,Partial High School,Skilled Manual,Y
AB-10060117,Dana,Cox,1998-05-25,S,F,dana1@hotmail.com,70000,Partial High School,Skilled Manual,Y
AB-10060134,Fernando,Garcia,1977-03-14,M,M,fernando13@hotmail.com,60000,Bachelors,Management,Y
AB-10060139,Don,Goel,1996-05-16,M,M,don5@hotmail.com,30000,Bachelors,Skilled Manual,Y
AB-100601402,Mariah,Hughes,1979-07-19,S,F,mariah18@hotmail.com,40000,Bachelors,Professional,N
AB-100601404,Patrick,Carter,1971-12-08,S,M,patrick26@hotmail.com,60000,Bachelors,Professional,N
AB-100601406,Marcus,Taylor,1960-12-10,M,M,marcus53@hotmail.com,60000,Partial College,Professional,Y
AB-100601408,Zachary,Perry,1989-12-25,M,M,zachary38@hotmail.com,40000,Bachelors,Skilled Manual,Y
AB-10060147,Calvin,Raman,1982-07-11,M,M,calvin21@hotmail.com,60000,Bachelors,Professional,Y
AB-1006027,Patricia,Carter,1967-01-25,S,F,patricia16@hotmail.com,10000,Partial High School,Manual,Y
AB-1006028,Mary,Wright,1973-05-10,S,F,mary21@hotmail.com,60000,High School,Professional,Y
AB-1006036,Christine,Gonzales,1967-07-25,S,F,christine6@hotmail.com,30000,Partial College,Clerical,Y
AB-1006039,Christy,Wilson,1992-07-11,M,F,christy26@hotmail.com,60000,Bachelors,Management,Y
AB-1006045,Steve,Gill,1983-09-03,M,M,steve9@hotmail.com,10000,Bachelors,Manual,Y
AB-100605,Claudia,Alexander,1962-04-27,S,F,claudia7@hotmail.com,130000,Partial College,Professional,N
AB-1006051,Kenneth,Wang,1970-06-12,M,M,kenneth15@hotmail.com,80000,Graduate Degree,Professional,Y
AB-1006055,Thomas,Williams,1969-09-12,S,M,thomas18@hotmail.com,80000,Bachelors,Management,N
AB-1006059,Karla,Gill,2000-01-11,M,F,karla3@hotmail.com,100000,High School,Management,Y
AB-1006061,Austin,Green,1965-06-09,S,M,austin35@hotmail.com,60000,Graduate Degree,Management,Y
AB-100607,Danny,Perez,1996-05-14,S,M,danny22@hotmail.com,20000,Partial High School,Manual,N
AB-1006075,Lucas,Flores,1998-02-16,M,M,lucas17@hotmail.com,90000,Partial College,Professional,Y
AB-1006082,Xavier,Chen,1998-07-27,M,M,xavier84@hotmail.com,60000,Graduate Degree,Skilled Manual,Y
AB-1006086,Kevin,Gonzalez,1993-08-22,M,M,kevin41@hotmail.com,70000,Bachelors,Professional,N
AB-1006091,Raul,Carlson,1974-11-25,M,M,raul19@hotmail.com,20000,Partial High School,Manual,N
AB-1006092,Alexia,Martinez,1997-07-02,M,F,alexia9@hotmail.com,40000,Partial College,Skilled Manual,Y
AB-1006096,Jared,Perry,1986-06-06,M,M,jared2@hotmail.com,90000,High School,Professional,Y
AB-1006098,Christina,Sara,1992-05-24,S,F,christina2@hotmail.com,20000,Partial High School,Manual,N
AB-10105101,Casey,Raji,1967-08-13,S,M,casey29@hotmail.com,20000,Partial College,Manual,N
AB-10105120,Priscilla,Sanchez,1995-05-16,S,F,priscilla9@hotmail.com,20000,High School,Manual,Y
AB-101051402,Natalie,Wagner,1985-10-02,M,F,natalie36@hotmail.com,130000,High School,Professional,Y
AB-101051404,Brendan,Richardson,1991-12-18,M,M,brendan14@hotmail.com,120000,Partial College,Management,Y
AB-101051406,Jaime,Shen,1977-08-14,S,F,jaime5@hotmail.com,70000,Partial High School,Skilled Manual,Y
AB-101051408,Andre,Rivera,1963-04-28,S,M,andre5@hotmail.com,30000,High School,Professional,N
AB-1010518,Marvin,Zeng,1994-12-01,M,M,marvin7@hotmail.com,40000,Graduate Degree,Clerical,Y
AB-1010528,Nathaniel,Hayes,1996-03-15,M,M,nathaniel20@hotmail.com,60000,Graduate Degree,Professional,Y
AB-1010545,Terrence,Edwards,1972-09-24,S,M,terrence3@hotmail.com,40000,Partial College,Clerical,Y
AB-1010548,Christian,Reed,1981-09-09,M,M,christian42@hotmail.com,70000,Bachelors,Management,Y
AB-101055,Luke,Clark,1967-03-07,S,M,luke28@hotmail.com,60000,High School,Professional,N
AB-1010555,Grace,Hall,1970-07-11,M,F,grace60@hotmail.com,70000,Graduate Degree,Professional,Y
AB-1010558,Johnathan,Raje,1975-05-05,M,M,johnathan18@hotmail.com,30000,Bachelors,Clerical,Y
AB-1010562,Amanda,Hernandez,1991-03-01,S,F,amanda49@hotmail.com,80000,Bachelors,Management,Y
AB-1010564,Caitlin,Kumar,1969-09-04,S,F,caitlin19@hotmail.com,60000,Graduate Degree,Professional,N
AB-101057,Latoya,She,1995-04-06,M,F,latoya4@hotmail.com,20000,Partial College,Manual,Y
AB-1010582,Curtis,Ashe,1974-09-09,M,M,curtis11@hotmail.com,40000,Partial College,Skilled Manual,Y
AB-10150118,Carolyn,Cox,1974-10-08,M,F,carolyn3@hotmail.com,20000,Partial High School,Clerical,N
AB-10150120,Sean,Henderson,1986-03-02,M,M,sean48@hotmail.com,60000,Bachelors,Skilled Manual,Y
AB-10150139,Zoe,Bailey,1964-12-15,S,F,zoe15@hotmail.com,60000,Graduate Degree,Professional,N
AB-101501402,Jeremy,Cooper,1984-03-14,S,M,jeremy25@hotmail.com,70000,Partial College,Skilled Manual,N
AB-101501406,Mariah,Martinez,1969-08-10,M,F,mariah12@hotmail.com,40000,High School,Professional,Y
AB-10150143,Bianca,Chandra,1969-04-27,S,F,bianca6@hotmail.com,20000,Bachelors,Clerical,Y
AB-1015027,Isaac,Foster,1960-08-08,M,M,isaac29@hotmail.com,70000,Graduate Degree,Professional,N
AB-1015036,Savannah,Diaz,1998-09-02,M,F,savannah2@hotmail.com,40000,Partial College,Clerical,Y
AB-1015039,Alyssa,White,1995-03-09,M,F,alyssa52@hotmail.com,130000,Graduate Degree,Management,Y
AB-1015045,Nicole,Sanchez,1997-11-04,M,F,nicole16@hotmail.com,60000,Bachelors,Professional,Y
AB-1015055,Brianna,Zhu,1964-05-25,S,F,brianna1@hotmail.com,70000,Bachelors,Professional,N
AB-101507,Angelica,Wilson,1975-09-23,M,F,angelica7@hotmail.com,70000,Graduate Degree,Professional,Y
AB-1015082,Alexis,Xie,1980-03-04,M,F,alexis18@hotmail.com,30000,High School,Skilled Manual,N
AB-1015093,Jacquelyn,Rai,1961-11-28,M,F,jacquelyn4@hotmail.com,100000,High School,Management,Y
AB-10165113,Julia,Martin,1986-09-19,M,F,julia24@hotmail.com,80000,Partial College,Professional,Y
AB-10165139,Jack,Pal,1963-03-21,S,M,jack15@hotmail.com,120000,High School,Professional,N
AB-101651402,Jose,Raman,1978-09-09,M,M,jose27@hotmail.com,60000,High School,Professional,N
AB-101651404,Micheal,Mehta,1966-09-21,M,M,micheal8@hotmail.com,60000,Partial College,Skilled Manual,Y
AB-101651406,Shawna,Alonso,1983-11-17,S,F,shawna1@hotmail.com,20000,High School,Manual,N
AB-101651408,Leonard,Lal,1965-03-20,M,M,leonard2@hotmail.com,40000,Bachelors,Skilled Manual,Y
AB-1016531,Ernest,Young,1968-04-18,S,M,ernest11@hotmail.com,60000,High School,Professional,Y
AB-1016545,Ruth,Chande,1969-06-28,M,F,ruth18@hotmail.com,130000,High School,Professional,Y
AB-1016548,Kenneth,Torres,1988-06-23,S,M,kenneth17@hotmail.com,100000,High School,Professional,Y
AB-1016551,Steven,Alexander,1966-06-11,M,M,steven19@hotmail.com,60000,Partial College,Professional,Y
AB-1016558,Ramon,Smith,1996-10-05,M,M,ramon3@hotmail.com,60000,Bachelors,Skilled Manual,Y
AB-101657,Kelsey,Xu,1977-12-24,S,F,kelsey19@hotmail.com,130000,Graduate Degree,Management,N
AB-1016582,Dylan,Bailey,1966-09-11,M,M,dylan13@hotmail.com,40000,Graduate Degree,Skilled Manual,N
AB-10255139,Tabitha,Simmons,1969-10-20,M,F,tabitha1@hotmail.com,20000,Partial College,Manual,Y
AB-102551402,Elijah,Luo,1995-05-25,M,M,elijah30@hotmail.com,70000,Bachelors,Professional,Y
AB-102551404,Dalton,Henderson,1963-07-17,S,M,dalton26@hotmail.com,20000,Partial High School,Clerical,N
AB-102551406,Aaron,Roberts,1993-11-02,S,M,aaron35@hotmail.com,170000,Graduate Degree,Management,N
AB-102551408,Julia,Allen,1974-10-26,S,F,julia44@hotmail.com,20000,Partial High School,Clerical,N
AB-10255144,James,Jenkins,1992-04-01,M,M,james56@hotmail.com,30000,High School,Skilled Manual,Y
AB-1025518,Kellie,Travers,1996-11-13,S,F,kellie4@hotmail.com,10000,High School,Manual,N
AB-1025527,Cameron,Howard,1986-03-26,M,M,cameron43@hotmail.com,20000,Partial High School,Manual,N
AB-1025531,Eduardo,Patterson,1975-07-07,M,M,eduardo49@hotmail.com,90000,Bachelors,Management,Y
AB-1025536,Zachary,Bryant,1964-10-26,S,M,zachary25@hotmail.com,60000,Graduate Degree,Skilled Manual,N
AB-1025545,Deanna,Richardson,1971-11-24,M,F,deanna41@hotmail.com,60000,Bachelors,Management,Y
AB-1025548,Natalie,Evans,1994-08-08,M,F,natalie39@hotmail.com,70000,High School,Professional,Y
AB-1025558,Linda,Sanchez,1964-10-22,M,F,linda29@hotmail.com,20000,Partial College,Manual,N
AB-1025564,Abigail,Travers,1963-07-22,M,F,abigail47@hotmail.com,60000,Partial College,Skilled Manual,Y
AB-102557,Stanley,Navarro,1996-07-16,S,M,stanley5@hotmail.com,80000,Bachelors,Professional,N
AB-1025582,Richard,Gonzalez,1991-05-11,S,M,richard20@hotmail.com,60000,Graduate Degree,Management,Y
AB-1025598,Jerome,Romero,1987-10-07,M,,jerome12@hotmail.com,20000,Graduate Degree,Clerical,Y
AB-105134,Rebekah,Kumar,1980-05-10,S,F,rebekah24@hotmail.com,40000,Partial College,Clerical,N
AB-105137,Clinton,Alonso,1993-02-18,M,M,clinton13@hotmail.com,110000,Bachelors,Management,Y
AB-10523,Luke,Wang,1989-12-22,S,M,luke46@hotmail.com,120000,High School,Professional,Y
AB-10532,Mackenzie,Turner,1984-09-21,S,F,mackenzie36@hotmail.com,50000,Partial College,Skilled Manual,Y
AB-10533,Kaitlyn,Mehta,1981-07-20,M,F,kaitlyn28@hotmail.com,80000,Bachelors,Management,Y
AB-10549,Caleb,Patterson,1980-02-12,M,M,caleb7@hotmail.com,90000,Bachelors,Management,Y
AB-10600104,Gregory,Moreno,1966-06-15,M,M,gregory17@hotmail.com,70000,Bachelors,Professional,Y
AB-10600130,Katherine,Martinez,1968-09-15,S,F,katherine66@hotmail.com,110000,Graduate Degree,Management,N
AB-106001402,Ashley,Vance,1973-04-06,S,F,ashley42@hotmail.com,10000,Bachelors,Manual,Y
AB-106001404,Aidan,Muñoz,1962-01-12,S,M,aidan17@hotmail.com,110000,High School,Management,N
AB-106001408,Jasmine,Green,1977-07-07,S,F,jasmine55@hotmail.com,50000,Partial College,Skilled Manual,N
AB-1060021,Dominique,Moreno,1971-05-09,S,F,dominique9@hotmail.com,20000,High School,Skilled Manual,Y
AB-1060027,Arturo,Suarez,1979-01-26,S,M,arturo34@hotmail.com,120000,Partial High School,Professional,Y
AB-1060028,Brittany,Long,1968-12-20,M,F,brittany21@hotmail.com,60000,Partial College,Skilled Manual,Y
AB-1060045,Melissa,Yang,1966-04-21,M,F,melissa25@hotmail.com,10000,Bachelors,Manual,Y
AB-1060048,Kaitlyn,Martinez,1998-04-05,M,F,kaitlyn12@hotmail.com,120000,Graduate Degree,Management,Y
AB-1060051,Meredith,Chande,1977-09-28,S,F,meredith14@hotmail.com,30000,High School,Manual,Y
AB-1060058,Colleen,Romero,1968-10-26,S,F,colleen17@hotmail.com,20000,Partial College,Manual,N
AB-1060059,Garrett,Gonzales,1981-09-04,M,M,garrett5@hotmail.com,60000,High School,Professional,N
AB-1060064,Mindy,Evans,1986-12-20,S,F,mindy17@hotmail.com,80000,Bachelors,Professional,Y
AB-106007,Aidan,Tang,1987-07-10,S,M,aidan4@hotmail.com,60000,Graduate Degree,Skilled Manual,N
AB-1060082,Raymond,Walker,1995-07-10,M,M,raymond8@hotmail.com,100000,Graduate Degree,Management,Y
AB-1060091,Clifford,Rubio,1966-02-01,M,M,clifford19@hotmail.com,60000,Bachelors,Professional,Y
AB-1060097,Gabrielle,Alexander,1974-11-12,M,F,gabrielle51@hotmail.com,90000,Partial College,Professional,Y
AB-150134,Seth,Howard,1969-10-05,M,M,seth55@hotmail.com,60000,Graduate Degree,Management,N
AB-150137,Jasmine,Sanders,1980-07-03,S,F,jasmine52@hotmail.com,80000,Partial High School,Skilled Manual,N
AB-15060,Charles,Butler,1982-12-23,S,M,charles53@hotmail.com,70000,Bachelors,Professional,N
AB-15137,Isaac,Brown,1987-04-20,M,M,isaac22@hotmail.com,70000,Partial College,Professional,N
AB-15146,Mariah,Williams,1963-08-28,M,F,mariah39@hotmail.com,40000,Bachelors,Skilled Manual,Y
AB-1522,Virginia,Pal,1986-04-08,S,F,virginia15@hotmail.com,30000,Partial College,Clerical,Y
AB-1560,Logan,Watson,1992-02-03,M,M,logan4@hotmail.com,60000,Graduate Degree,Skilled Manual,Y
AB-165103,Martin,Sanchez,1970-01-10,M,M,martin15@hotmail.com,80000,Partial College,Professional,Y
AB-165134,Arianna,Fernandez,1974-01-24,S,F,arianna0@hotmail.com,70000,Bachelors,Management,N
AB-16523,Anne,Garcia,1960-02-21,M,F,anne14@hotmail.com,130000,Partial College,Professional,Y
AB-16594,Ian,Garcia,1966-10-17,S,M,ian55@hotmail.com,60000,Graduate Degree,Skilled Manual,Y
AB-255117,Roy,Townsend,1971-02-01,M,M,roy7@hotmail.com,160000,Bachelors,Management,N
AB-255134,Melanie,Shan,1976-12-14,S,F,melanie1@hotmail.com,40000,Bachelors,Professional,N
AB-25523,Bryant,Zhang,2000-09-24,S,M,bryant19@hotmail.com,100000,Bachelors,Professional,N
AB-25533,Allen,Coleman,1961-03-21,S,M,allen19@hotmail.com,80000,Bachelors,Professional,Y
AB-25549,Cassidy,Martin,1998-04-13,M,F,cassidy1@hotmail.com,50000,Bachelors,Skilled Manual,Y
AB-25560,Reginald,Diaz,1973-04-03,S,M,reginald12@hotmail.com,70000,Partial College,Skilled Manual,N
AB-25586,Caitlin,Howard,1990-05-08,M,F,caitlin15@hotmail.com,50000,Graduate Degree,Skilled Manual,Y
AB-600103,Nicholas,Perry,1977-01-18,M,M,nicholas12@hotmail.com,70000,Partial High School,Skilled Manual,Y
AB-600131,Jose,Gonzalez,1964-09-26,S,M,jose47@hotmail.com,130000,High School,Professional,N
AB-60042,Ivan,Bailey,1993-09-16,S,M,ivan13@hotmail.com,60000,Graduate Degree,Professional,N
AB-60086,Preston,Rothkugel,1984-09-14,S,M,preston8@hotmail.com,10000,Partial College,Manual,N
AC-10420102,Ana,Gutierrez,1988-04-15,M,F,ana17@hotmail.com,40000,Bachelors,Clerical,Y
AC-10420120,Jonathan,Anderson,1975-01-01,M,M,jonathan8@hotmail.com,70000,Bachelors,Skilled Manual,Y
AC-10420130,Meghan,Rodriguez,1980-08-19,S,F,meghan8@hotmail.com,60000,Bachelors,Professional,Y
AC-10420139,Nichole,Mitchell,1995-11-04,S,F,nichole6@hotmail.com,110000,Partial College,Professional,N
AC-104201402,Jacob,Thomas,1994-05-22,S,M,jacob15@hotmail.com,60000,Bachelors,Skilled Manual,Y
AC-104201404,Kyle,Diaz,1975-08-14,M,M,kyle35@hotmail.com,10000,Partial High School,Manual,Y
AC-104201406,Brent,Simon,1986-09-27,M,M,brent17@hotmail.com,30000,High School,Skilled Manual,Y
AC-1042018,Antonio,Ramirez,1982-11-01,S,M,antonio14@hotmail.com,40000,Partial College,Clerical,Y
AC-1042027,Luke,Young,1979-05-16,S,M,luke35@hotmail.com,60000,Graduate Degree,Skilled Manual,Y
AC-1042031,Anna,Rogers,1965-10-02,S,F,anna25@hotmail.com,60000,Bachelors,Skilled Manual,N
